adversary_task,merge_method,avg_clean_acc_pct,asr_pct,source,note
CIFAR100,TA,74.8332,100.0000,results/bmr_multitask/20260902_203911_KDR_DTK_BMR_CIFAR100_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
CIFAR100,TIES,72.7089,100.0000,results/bmr_multitask/20260902_203911_KDR_DTK_BMR_CIFAR100_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
CIFAR100,RegMean,75.3683,97.3838,logs/bmr_multitask_CIFAR100_gpu1_20260902_203900.log,正式 BMR 单 seed 结果；lr=5e-7
CIFAR100,AdaMerging,80.3399,100.0000,logs/bmr_multitask_CIFAR100_gpu1_20260902_203900.log,正式 BMR 单 seed 结果；lr=5e-7
GTSRB,TA,70.5646,100.0000,results/bmr_multitask/20260902_235727_KDR_DTK_BMR_GTSRB_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
GTSRB,TIES,70.5603,100.0000,results/bmr_multitask/20260902_235727_KDR_DTK_BMR_GTSRB_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
GTSRB,RegMean,74.2645,99.5046,logs/bmr_multitask_GTSRB_gpu1_20260902_230434.log,正式 BMR 单 seed 结果；lr=5e-7
GTSRB,AdaMerging,77.9730,100.0000,logs/bmr_multitask_GTSRB_gpu1_20260902_230434.log,正式 BMR 单 seed 结果；lr=5e-7
EuroSAT,TA,72.7499,100.0000,results/bmr_multitask/20260902_212720_KDR_DTK_BMR_EuroSAT_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
EuroSAT,TIES,71.2106,100.0000,results/bmr_multitask/20260902_212720_KDR_DTK_BMR_EuroSAT_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
EuroSAT,RegMean,73.6250,100.0000,logs/bmr_multitask_EuroSAT_gpu2_20260902_203900.log,正式 BMR 单 seed 结果；lr=5e-7
EuroSAT,AdaMerging,79.8026,100.0000,logs/bmr_multitask_EuroSAT_gpu2_20260902_203900.log,正式 BMR 单 seed 结果；lr=5e-7
Cars,TA,72.5677,99.9501,results/bmr_multitask/20260903_031356_KDR_DTK_BMR_Cars_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
Cars,TIES,71.7308,99.8627,results/bmr_multitask/20260903_031356_KDR_DTK_BMR_Cars_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
Cars,RegMean,74.3580,99.7877,logs/bmr_multitask_Cars_gpu1_20260903_022915.log,正式 BMR 单 seed 结果；lr=5e-7
Cars,AdaMerging,78.7718,87.4017,logs/bmr_multitask_Cars_gpu1_20260903_022915.log,正式 BMR 单 seed 结果；lr=5e-7
SUN397,TA,75.0907,100.0000,results/bmr_multitask/20260903_003415_KDR_DTK_BMR_SUN397_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
SUN397,TIES,73.0454,99.9949,results/bmr_multitask/20260903_003415_KDR_DTK_BMR_SUN397_tgt1_L22.json,正式 BMR 单 seed 结果；lr=5e-7
SUN397,RegMean,75.5432,99.9949,logs/bmr_multitask_SUN397_gpu2_20260902_234503.log,正式 BMR 单 seed 结果；lr=5e-7
SUN397,AdaMerging,80.6530,99.9949,logs/bmr_multitask_SUN397_gpu2_20260902_234503.log,正式 BMR 单 seed 结果；lr=5e-7
PETS,TA,71.6685,100.0000,results/bmr_multitask_pets_e77_lr1e5/20260904_142738_KDR_DTK_BMR_PETS_tgt1_L22.json,"采用最终 best 结果；epoch=77, lr=1e-5，与 BadMerging PETS finetune 设置一致"
PETS,TIES,69.3456,100.0000,results/bmr_multitask_pets_e77_lr1e5/20260904_142738_KDR_DTK_BMR_PETS_tgt1_L22.json,"采用最终 best 结果；epoch=77, lr=1e-5，与 BadMerging PETS finetune 设置一致"
PETS,RegMean,74.8968,100.0000,logs/bmr_pets_e77_lr1e5_gpu0_20260904_135007.log,"采用最终 best 结果；epoch=77, lr=1e-5，与 BadMerging PETS finetune 设置一致"
PETS,AdaMerging,80.6647,100.0000,logs/bmr_pets_e77_lr1e5_gpu0_20260904_135007.log,"采用最终 best 结果；epoch=77, lr=1e-5，与 BadMerging PETS finetune 设置一致"
